food_id,alias,alias_type,language
food_54bf9ca5,dalia khichri/khichdi,regional,hi
food_eb273cd4,cracked wheat porridge,primary,en
food_eb273cd4,meetha daliya,regional,hi
food_07d4fbb2,crackers,primary,en
food_f8360882,cranberry cookies,primary,en
food_fc0b0515,cranberry juice,primary,en
food_c9f91dd5,cream buns,primary,en
food_0e39b15b,cream cheese,primary,en
food_91fa7588,cream horns,primary,en
food_f702af8b,cream of broccoli soup,primary,en
food_713f3b93,cream of carrot soup,primary,en
food_c307f197,cream of green peas soup,primary,en
food_12faf41e,cream of mixed vegetable soup,primary,en
food_eec4140a,cream of mushroom soup,primary,en
food_64eaea4a,cream of potato soup,primary,en
food_54e214e5,cream of spinach soup,primary,en
food_cdfdbe83,cream of tomato soup,primary,en
food_920f5375,cream puffs,primary,en
food_b32793e3,creamed spinach,primary,en
food_013bf3c7,creamed spinach and mushroom,primary,en
food_6a5735da,creamy chicken,primary,en
food_3ba9fb4d,creamy chocolate mousse,primary,en
food_89a22a59,crepe,primary,en
food_926c24a9,crispy baked fish,primary,en
food_55e6bf0f,crispy okra/crispy lady's fingers,primary,en
food_55e6bf0f,karare bhindi,regional,hi
food_b7dda908,croutons,primary,en
food_1c4db41c,crunchy butterscotch,primary,en
food_400b8498,crushed tomatoes,primary,en
food_6428a52d,cucumber,primary,en
food_59dc426b,cucumber and yogurt salad,primary,en
food_59dc426b,kheere aur dahi ka salad,regional,hi
food_b9cf5949,cucumber raita,primary,en
food_b9cf5949,kheere ka raita,regional,hi
